2026-08-11T15:19:41Z	init	new-project	0
2026-08-11T15:19:41Z	promote	plans-knowledge	7
2026-08-12T09:31:47Z	inject	session-start	9
2026-08-12T09:44:18Z	inject	session-start	9
2026-08-12T09:45:42Z	inject	session-start	9
2026-08-12T10:02:20Z	inject	session-start	9
2026-08-12T10:10:24Z	inject	session-start	9
2026-08-12T10:27:22Z	inject	session-start	9
2026-08-12T10:28:22Z	inject	session-start	9
2026-08-12T10:44:18Z	inject	pretool-skill	9
2026-08-12T10:50:28Z	inject	pretool-skill	9
2026-08-12T11:07:24Z	inject	session-start	9
2026-08-12T11:11:14Z	inject	session-start	9
2026-08-12T11:32:44Z	inject	pretool-skill	9
2026-08-12T11:33:10Z	write	gotchas.md	7
2026-08-12T11:39:03Z	inject	pretool-skill	9
2026-08-12T12:13:08Z	write	commands.md	5
2026-08-12T12:57:05Z	inject	session-start	9
2026-08-12T12:57:12Z	inject	pretool-skill	9
2026-08-12T13:08:32Z	inject	pretool-skill	9
2026-08-12T14:17:01Z	inject	session-start	9
2026-08-12T16:11:06Z	inject	session-start	9
2026-08-12T16:11:13Z	inject	pretool-skill	9
2026-08-12T16:14:45Z	inject	session-start	9
2026-08-12T16:20:35Z	inject	pretool-skill	9
2026-08-12T16:21:32Z	write	gotchas.md	12
2026-08-12T16:45:18Z	inject	session-start	9
2026-08-12T17:41:16Z	inject	session-start	9
2026-08-12T17:42:11Z	inject	session-start	9
2026-08-12T17:42:18Z	inject	pretool-skill	9
2026-08-12T18:23:18Z	inject	session-start	9
2026-08-12T18:36:50Z	inject	session-start	9
2026-08-12T18:53:24Z	inject	pretool-skill	9
